268 Thu Sep 25 11:52:31 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 11:52:31 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 11:52:31 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 11:52:31 EDT 2014 care 50 Open:Active - - - - 7 1 6 0
268 Thu Sep 25 11:52:31 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 11:52:31 EDT 2014 priority 50 Open:Active - 10 - 1 743 716 27 0
268 Thu Sep 25 11:52:31 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:52:31 EDT 2014 genepattern 40 Open:Active - - - - 31 4 27 0
268 Thu Sep 25 11:52:31 EDT 2014 gsa 35 Open:Active - - - - 16 0 16 0
268 Thu Sep 25 11:52:31 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:52:31 EDT 2014 regevlab 35 Open:Active - 80 - - 210 41 169 0
268 Thu Sep 25 11:52:32 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 hour 30 Open:Active - 500 - - 44 11 33 0
268 Thu Sep 25 11:52:32 EDT 2014 week 30 Open:Active - 300 - - 8778 7904 872 2
268 Thu Sep 25 11:52:32 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 flower 30 Open:Active - 10 - - 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 forest 30 Open:Active - 100 - - 79 0 79 0
268 Thu Sep 25 11:52:32 EDT 2014 bhour 25 Open:Active - 200 - - 442 442 0 0
268 Thu Sep 25 11:52:32 EDT 2014 compbio-week 25 Open:Active - 1040 - - 2115 1286 829 0
268 Thu Sep 25 11:52:32 EDT 2014 bweek 20 Open:Active - 40 - - 98 96 2 0
268 Thu Sep 25 11:52:32 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:52:32 EDT 2014 interactive 10 Open:Active - 3 - - 115 1 114 0
268 Thu Sep 25 11:52:32 EDT 2014 forever 10 Open:Active - - - - 4 0 3 1
268 Thu Sep 25 11:52:32 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 11:53:33 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
