268 Thu Sep 25 11:52:31 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 11:53:33 EDT 2014 care 50 Open:Active - - - - 7 1 6 0
268 Thu Sep 25 11:53:33 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 priority 50 Open:Active - 10 - 1 743 716 27 0
268 Thu Sep 25 11:53:33 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 genepattern 40 Open:Active - - - - 31 4 27 0
268 Thu Sep 25 11:53:33 EDT 2014 gsa 35 Open:Active - - - - 16 0 16 0
268 Thu Sep 25 11:53:33 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 regevlab 35 Open:Active - 80 - - 210 41 169 0
268 Thu Sep 25 11:53:33 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 11:53:33 EDT 2014 hour 30 Open:Active - 500 - - 42 11 31 0
268 Thu Sep 25 11:53:33 EDT 2014 week 30 Open:Active - 300 - - 8770 7892 876 2
268 Thu Sep 25 11:53:33 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 11:53:34 EDT 2014 flower 30 Open:Active - 10 - - 0 0 0 0
268 Thu Sep 25 11:53:34 EDT 2014 forest 30 Open:Active - 100 - - 78 0 78 0
268 Thu Sep 25 11:53:34 EDT 2014 bhour 25 Open:Active - 200 - - 442 442 0 0
268 Thu Sep 25 11:53:34 EDT 2014 compbio-week 25 Open:Active - 1040 - - 2110 1282 828 0
268 Thu Sep 25 11:53:34 EDT 2014 bweek 20 Open:Active - 40 - - 98 96 2 0
268 Thu Sep 25 11:53:34 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:53:34 EDT 2014 interactive 10 Open:Active - 3 - - 118 1 117 0
268 Thu Sep 25 11:53:34 EDT 2014 forever 10 Open:Active - - - - 4 0 3 1
268 Thu Sep 25 11:53:34 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 11:54:45 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 care 50 Open:Active - - - - 7 1 6 0
268 Thu Sep 25 11:54:45 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 priority 50 Open:Active - 10 - 1 744 716 27 0
268 Thu Sep 25 11:54:45 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 genepattern 40 Open:Active - - - - 31 4 27 0
268 Thu Sep 25 11:54:45 EDT 2014 gsa 35 Open:Active - - - - 16 0 16 0
268 Thu Sep 25 11:54:45 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 regevlab 35 Open:Active - 80 - - 230 61 169 0
268 Thu Sep 25 11:54:45 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 hour 30 Open:Active - 500 - - 42 11 31 0
268 Thu Sep 25 11:54:45 EDT 2014 week 30 Open:Active - 300 - - 8758 7886 869 3
268 Thu Sep 25 11:54:45 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 flower 30 Open:Active - 10 - - 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 forest 30 Open:Active - 100 - - 77 0 77 0
268 Thu Sep 25 11:54:45 EDT 2014 bhour 25 Open:Active - 200 - - 442 442 0 0
268 Thu Sep 25 11:54:45 EDT 2014 compbio-week 25 Open:Active - 1040 - - 2106 1279 827 0
268 Thu Sep 25 11:54:45 EDT 2014 bweek 20 Open:Active - 40 - - 98 96 2 0
268 Thu Sep 25 11:54:45 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 11:54:45 EDT 2014 interactive 10 Open:Active - 3 - - 118 1 117 0
268 Thu Sep 25 11:54:45 EDT 2014 forever 10 Open:Active - - - - 4 0 3 1
268 Thu Sep 25 11:54:45 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 12:21:36 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 care 50 Open:Active - - - - 7 1 6 0
268 Thu Sep 25 12:21:36 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 priority 50 Open:Active - 10 - 1 740 712 28 0
268 Thu Sep 25 12:21:36 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 genepattern 40 Open:Active - - - - 30 3 27 0
268 Thu Sep 25 12:21:36 EDT 2014 gsa 35 Open:Active - - - - 15 0 15 0
268 Thu Sep 25 12:21:36 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 regevlab 35 Open:Active - 80 - - 216 41 175 0
268 Thu Sep 25 12:21:36 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 hour 30 Open:Active - 500 - - 31 11 20 0
268 Thu Sep 25 12:21:36 EDT 2014 week 30 Open:Active - 300 - - 9011 8133 876 2
268 Thu Sep 25 12:21:36 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 flower 30 Open:Active - 10 - - 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 forest 30 Open:Active - 100 - - 74 0 74 0
268 Thu Sep 25 12:21:36 EDT 2014 bhour 25 Open:Active - 200 - - 442 442 0 0
268 Thu Sep 25 12:21:36 EDT 2014 compbio-week 25 Open:Active - 1040 - - 2163 1337 826 0
268 Thu Sep 25 12:21:36 EDT 2014 bweek 20 Open:Active - 40 - - 97 95 2 0
268 Thu Sep 25 12:21:36 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:36 EDT 2014 interactive 10 Open:Active - 3 - - 125 0 125 0
268 Thu Sep 25 12:21:36 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
268 Thu Sep 25 12:21:36 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 12:21:45 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 care 50 Open:Active - - - - 7 1 6 0
268 Thu Sep 25 12:21:45 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 priority 50 Open:Active - 10 - 1 740 712 28 0
268 Thu Sep 25 12:21:45 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 genepattern 40 Open:Active - - - - 30 3 27 0
268 Thu Sep 25 12:21:45 EDT 2014 gsa 35 Open:Active - - - - 15 0 15 0
268 Thu Sep 25 12:21:45 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 regevlab 35 Open:Active - 80 - - 216 41 175 0
268 Thu Sep 25 12:21:45 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 hour 30 Open:Active - 500 - - 30 11 19 0
268 Thu Sep 25 12:21:45 EDT 2014 week 30 Open:Active - 300 - - 9038 8160 876 2
268 Thu Sep 25 12:21:45 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 flower 30 Open:Active - 10 - - 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 forest 30 Open:Active - 100 - - 74 0 74 0
268 Thu Sep 25 12:21:45 EDT 2014 bhour 25 Open:Active - 200 - - 442 442 0 0
268 Thu Sep 25 12:21:45 EDT 2014 compbio-week 25 Open:Active - 1040 - - 2162 1335 827 0
268 Thu Sep 25 12:21:45 EDT 2014 bweek 20 Open:Active - 40 - - 97 95 2 0
268 Thu Sep 25 12:21:45 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 12:21:45 EDT 2014 interactive 10 Open:Active - 3 - - 126 0 126 0
268 Thu Sep 25 12:21:45 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
268 Thu Sep 25 12:21:45 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 17:54:55 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 care 50 Open:Active - - - - 10 0 10 0
268 Thu Sep 25 17:54:55 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 priority 50 Open:Active - 10 - 1 732 699 33 0
268 Thu Sep 25 17:54:55 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 genepattern 40 Open:Active - - - - 31 1 30 0
268 Thu Sep 25 17:54:55 EDT 2014 gsa 35 Open:Active - - - - 25 0 25 0
268 Thu Sep 25 17:54:55 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 regevlab 35 Open:Active - 80 - - 202 38 164 0
268 Thu Sep 25 17:54:55 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 17:54:55 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 17:54:56 EDT 2014 hour 30 Open:Active - 500 - - 592 355 237 0
268 Thu Sep 25 17:54:56 EDT 2014 week 30 Open:Active - 300 - - 10747 10281 464 2
268 Thu Sep 25 17:54:56 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 17:54:56 EDT 2014 flower 30 Open:Active - 10 - - 1 0 1 0
268 Thu Sep 25 17:54:56 EDT 2014 forest 30 Open:Active - 100 - - 67 0 67 0
268 Thu Sep 25 17:54:56 EDT 2014 bhour 25 Open:Active - 200 - - 1937 1739 198 0
268 Thu Sep 25 17:54:56 EDT 2014 compbio-week 25 Open:Active - 1040 - - 5742 4918 824 0
268 Thu Sep 25 17:54:56 EDT 2014 bweek 20 Open:Active - 40 - - 96 94 2 0
268 Thu Sep 25 17:54:56 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:54:56 EDT 2014 interactive 10 Open:Active - 3 - - 140 0 140 0
268 Thu Sep 25 17:54:56 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
268 Thu Sep 25 17:54:56 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
268 Thu Sep 25 17:55:12 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 care 50 Open:Active - - - - 10 0 10 0
268 Thu Sep 25 17:55:12 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 priority 50 Open:Active - 10 - 1 732 699 33 0
268 Thu Sep 25 17:55:12 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 genepattern 40 Open:Active - - - - 31 1 30 0
268 Thu Sep 25 17:55:12 EDT 2014 gsa 35 Open:Active - - - - 25 0 25 0
268 Thu Sep 25 17:55:12 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 regevlab 35 Open:Active - 80 - - 202 38 164 0
268 Thu Sep 25 17:55:12 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 hour 30 Open:Active - 500 - - 475 266 209 0
268 Thu Sep 25 17:55:12 EDT 2014 week 30 Open:Active - 300 - - 10734 10280 452 2
268 Thu Sep 25 17:55:12 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 flower 30 Open:Active - 10 - - 1 0 1 0
268 Thu Sep 25 17:55:12 EDT 2014 forest 30 Open:Active - 100 - - 67 0 67 0
268 Thu Sep 25 17:55:12 EDT 2014 bhour 25 Open:Active - 200 - - 1937 1739 198 0
268 Thu Sep 25 17:55:12 EDT 2014 compbio-week 25 Open:Active - 1040 - - 5741 4917 824 0
268 Thu Sep 25 17:55:12 EDT 2014 bweek 20 Open:Active - 40 - - 96 94 2 0
268 Thu Sep 25 17:55:12 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
268 Thu Sep 25 17:55:12 EDT 2014 interactive 10 Open:Active - 3 - - 141 0 141 0
268 Thu Sep 25 17:55:12 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
268 Thu Sep 25 17:55:12 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
269 Fri Sep 26 09:01:20 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
269 Fri Sep 26 09:01:20 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
269 Fri Sep 26 09:01:20 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
269 Fri Sep 26 09:01:20 EDT 2014 care 50 Open:Active - - - - 6 0 6 0
269 Fri Sep 26 09:01:20 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
269 Fri Sep 26 09:01:20 EDT 2014 priority 50 Open:Active - 10 - 1 711 686 25 0
269 Fri Sep 26 09:01:21 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 genepattern 40 Open:Active - - - - 31 0 31 0
269 Fri Sep 26 09:01:21 EDT 2014 gsa 35 Open:Active - - - - 28 0 28 0
269 Fri Sep 26 09:01:21 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 regevlab 35 Open:Active - 80 - - 270 42 228 0
269 Fri Sep 26 09:01:21 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 hour 30 Open:Active - 500 - - 137 12 125 0
269 Fri Sep 26 09:01:21 EDT 2014 week 30 Open:Active - 300 - - 4038 3185 848 5
269 Fri Sep 26 09:01:21 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 flower 30 Open:Active - 10 - - 1 0 1 0
269 Fri Sep 26 09:01:21 EDT 2014 forest 30 Open:Active - 100 - - 39 0 39 0
269 Fri Sep 26 09:01:21 EDT 2014 bhour 25 Open:Active - 200 - - 592 588 4 0
269 Fri Sep 26 09:01:21 EDT 2014 compbio-week 25 Open:Active - 1040 - - 45624 44784 840 0
269 Fri Sep 26 09:01:21 EDT 2014 bweek 20 Open:Active - 40 - - 99 96 3 0
269 Fri Sep 26 09:01:21 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:21 EDT 2014 interactive 10 Open:Active - 3 - - 98 0 98 0
269 Fri Sep 26 09:01:21 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
269 Fri Sep 26 09:01:21 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
269 Fri Sep 26 09:01:27 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 care 50 Open:Active - - - - 6 0 6 0
269 Fri Sep 26 09:01:27 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 priority 50 Open:Active - 10 - 1 711 686 25 0
269 Fri Sep 26 09:01:27 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 genepattern 40 Open:Active - - - - 31 0 31 0
269 Fri Sep 26 09:01:27 EDT 2014 gsa 35 Open:Active - - - - 28 0 28 0
269 Fri Sep 26 09:01:27 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 regevlab 35 Open:Active - 80 - - 270 42 228 0
269 Fri Sep 26 09:01:27 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 hour 30 Open:Active - 500 - - 138 12 126 0
269 Fri Sep 26 09:01:27 EDT 2014 week 30 Open:Active - 300 - - 4037 3184 848 5
269 Fri Sep 26 09:01:27 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 flower 30 Open:Active - 10 - - 1 0 1 0
269 Fri Sep 26 09:01:27 EDT 2014 forest 30 Open:Active - 100 - - 39 0 39 0
269 Fri Sep 26 09:01:27 EDT 2014 bhour 25 Open:Active - 200 - - 592 588 4 0
269 Fri Sep 26 09:01:27 EDT 2014 compbio-week 25 Open:Active - 1040 - - 45622 44782 840 0
269 Fri Sep 26 09:01:27 EDT 2014 bweek 20 Open:Active - 40 - - 99 96 3 0
269 Fri Sep 26 09:01:27 EDT 2014 preview 15 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:01:27 EDT 2014 interactive 10 Open:Active - 3 - - 99 0 99 0
269 Fri Sep 26 09:01:27 EDT 2014 forever 10 Open:Active - - - - 4 0 4 0
269 Fri Sep 26 09:01:27 EDT 2014 sas 10 Open:Active - 6 - - 0 0 0 0
269 Fri Sep 26 09:03:38 EDT 2014 QUEUE_NAME PRIO STATUS MAX JL/U JL/P JL/H NJOBS PEND RUN SUSP
269 Fri Sep 26 09:03:38 EDT 2014 admin 100 Open:Active - - - 1 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 overtime 50 Closed:Active - 0 - - 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 care 50 Open:Active - - - - 6 0 6 0
269 Fri Sep 26 09:03:39 EDT 2014 igsa 50 Open:Active - 3 - 3 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 priority 50 Open:Active - 10 - 1 711 686 25 0
269 Fri Sep 26 09:03:39 EDT 2014 gpu 50 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 genepattern 40 Open:Active - - - - 30 0 30 0
269 Fri Sep 26 09:03:39 EDT 2014 gsa 35 Open:Active - - - - 28 0 28 0
269 Fri Sep 26 09:03:39 EDT 2014 neurolab 35 Open:Active - - - - 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 regevlab 35 Open:Active - 80 - - 268 42 226 0
269 Fri Sep 26 09:03:39 EDT 2014 birdseed 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 rnai 35 Open:Active - - - 10 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 iweek 31 Open:Active - 5 - 10 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 short 31 Open:Active - 50 - 1 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 webannotblast 31 Open:Active - - 1 - 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 hour 30 Open:Active - 500 - - 138 14 124 0
269 Fri Sep 26 09:03:39 EDT 2014 week 30 Open:Active - 300 - - 4029 3175 849 5
269 Fri Sep 26 09:03:39 EDT 2014 broad 30 Open:Inact - 572 - 10 0 0 0 0
269 Fri Sep 26 09:03:39 EDT 2014 flower 30 Open:Active - 10 - - 1 0 1 0
269 Fri Sep 26 09:03:39 EDT 2014 forest 30 Open:Active - 100 - - 39 0 39 0
269 Fri Sep 26 09:03:39 EDT 2014 bhour 25 Open:Active - 200 - - 592 588 4 0
269 Fri Sep 26 09:03:39 EDT 2014 compbio-week 25 Open:Active - 1040 - - 45594 44755 839 0
269 Fri Sep 26 09:03:39 EDT 2014 bweek 20 Open:Active - 40 - - 99 96 3 0
